Status;Name;fomat (coords);Genauigkeit (A=genau auf anlage, R= Region, f=feld);Koordinaten;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
A_Projekt in Betrieb;Arnsberg;m;a;49.53062084863661, 8.641849987829817;Nordrhein-Westfalen;Sonde;0,35;;90;2.835;20;2,1;;2012;;Wärme;Tiefe Erdwärmesonde;"Gebäudeheizung vom Freibad ""Nass""";;Sandstein;kommunal;;;;;;;
A_Projekt in Betrieb;Weinheim;;;49.53062084863661, 8.641849987829817;Baden-Württemberg;Hydrogeothermie;1,1;;65;1.150;10;5,65;;2005;;Wärme;;Gebäudeheizung für 1 Gebäude, Sole für Therme;;;;Oberrheingraben;;;;;;
A_Projekt in Betrieb;Oberhaching-Laufzorn / Grünwald;;;49.533471, 8.642011;Bayern;Hydrogeothermie;40;4,3;135;3755,2;132;49,35;18,03;2011;2014 ORC-Anlage liefert Strom -> Heizkraftwerk;Wärme & Strom;Dublette;Fernwärme;Strom;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Poing;;;49.60101729555329, 8.471756006871416;Bayern;Hydrogeothermie;10;;85;3.014;100;39,7;;2012;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Erding;;;49.60101729555329, 8.471756006871416;Bayern;Hydrogeothermie;10,2;;65;2.218;48;26,35;;1998;2008 Reinjektionsbohrung, 2009 Inbetriebnahme Heizwerk 2;Wärme;Dublette;Fernwärme;Balneologie;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;München-Riem;;;49.67228189268898, 8.547702641322267;Bayern;Hydrogeothermie;13;;98,4;2.747;87;79,96;;2004;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Heubach/Groß-Umstadt;;;49.853443023813405, 8.939736367472557;Hessen;Sonde;0,09;;36,7;773;5;;;2012;;Wärme;Tiefe Erdwärmesonde + 8 flache Erdwärmesonden;Beheizung Produktionshallen, Büros -> Nahwärme;;Kristallin;kommunal;;;;;;;
A_Projekt in Betrieb;Holzkirchen;;;50.10978686925627, 8.67630782564379;Bayern;Hydrogeothermie;5;3,6;157;;65;3,8;22,97;2019;2019 ORC-Anlage liefert Strom -> Heizkraftwerk;Wärme & Strom;Dublette;Fernwärme;Strom;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Essen;m;r;51.461315, 7.016736;Nordrhein-Westfalen;Grubenwasser;0,8;;35;1200;bis 300;;;2010;;Wärme;;-;;;;;;;;;;
A_Projekt in Betrieb;Bochum Werne / Zeche Robert Müser;g;a;51.48659342746747, 7.299821269358382;Nordrhein-Westfalen;Grubenwasser;0,4;;20;570;32;1,2;;2012;;Wärme;Grubenwasser;Gebäudeheizung von Feuerwehr und 2 Schulen mit Hilfe von BHKW und WP -> Nahwärme?;;;kommunal;;;;;;;
