Status;Name;fomat (coords);Genauigkeit (A=genau auf anlage, R= Region, f=feld);Koordinaten;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
D_Projekt in Planung;Lahr;;;48.33839899752713, 7.877576433800958;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.06.2026;;;;;;;;;;;;;
D_Projekt in Planung;Augsburg-Ost;;;48.38042009013776, 10.913673657882406;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Stadtwärme Neu-Ulm;;;48.383146854415905, 10.008997755766739;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;GeoFwFreising;;;48.40164310981577, 11.742229196565955;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;„Jarovit“ in Wolgast;;tabelle;48.506939814788055, 9.374128244187277;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Altdorf ""Ziegelei""";maps;;48.5546778719727, 12.109830296177424;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Ortenau II;;;48.62875171586698, 8.028673292631577;Baden-Württemberg;Hydrogeothermie;;;100;3.000;;;;;31.12.2025;;;;;;privater Investor;Oberrheingraben;;Vulcan Energie Ressourcen GmbHAmalienbadstraße 41, Bau 5276227 Karlsruhe;;;;
D_Projekt in Planung;Käfersteige;;;48.84745290090928, 8.755696250173637;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.07.2026;;;;;;;;;;;;;
D_Projekt in Planung;Römerbad;;;48.8553759312248, 8.216217721538355;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.10.2024;;;;;;privater Investor;Oberrheingraben;;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;;;;
D_Projekt in Planung;Karlsruhe-Süd II;;;48.91536918096234, 8.31064515681801;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.07.2027;;;;;;privater Investor;Oberrheingraben;https://www.deutsche-erdwaerme.de/karlsruhe-neureut/;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;Standortsuche findet statt;;;
D_Projekt in Planung;Aachen (Kreuz Aachen);m;r;48.91536918096234, 8.31064515681801;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;23.06.2022 bis 22.06.2025;;;;;;;;;Stadtwerke Aachen Aktiengesellschaft in Aachen;;;;
D_Projekt in Planung;Karlsruhe-Rheinhafen;;;49.016201950224314, 8.327734833401703;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.07.2028;;;;;;;;;EnBW undStadtwerke Karlsruhe;;;;
D_Projekt in Planung;Aachen - GEObservatorium;m;f;49.016201950224314, 8.327734833401703;Nordrhein-Westfalen;Forschung;;;;;;;;;18.07.2022 bis 17.07.2027;;;;;;;;;"GEObservatorium Aachen, RWTH AACHEN UNIVERSITY	";;;;
D_Projekt in Planung;"Hagenbach ""Catharina Werde""";;;49.019931910804154, 8.251203009341912;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Bertha bei Wörth;;;49.05032719932745, 8.261449586874713;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;https://mbpassion.de/2023/10/daimler-truck-will-in-woerth-ueber-geothermie-waerme-gewinnen/;;;;;
D_Projekt in Planung;"Kandel ""Bienwald""";;;49.07772350346744, 8.210586214781236;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Rift;;;49.09783528692474, 8.112103680020146;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;KIT Campus Nord II;;;49.09850756202273, 8.431781797071968;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.06.2026;;;;;;privater Investor;Oberrheingraben;;Arbeitsgemeinschaft Karlsruher Institut für Technologie (KIT) / EnBW Energie Baden-Württemberg AGKaiserstraße 1276131 Karlsruhe;;;;
D_Projekt in Planung;Aachen-Weisweiler;rh;a;49.09850756202273, 8.431781797071968;Nordrhein-Westfalen;Forschung;;;;;;;;;25.08.2020-24.08.2025;;;;;;;;;;;;;
D_Projekt in Planung;Biberach a.d.Riß.;;;49.12572989419394, 8.567386584802927;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.09.2028;;;;;;;;;;;;;
D_Projekt in Planung;Karlsdorf III;;;49.13612, 8.54350;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;„Vineta“ in Zinnowitz;;tabelle;49.13612, 8.54350;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.parchim.de/de/news/news-2024/information-geothermie/;;;;;
D_Projekt in Planung;Freiburg/ Südlicher Oberrhein;;;49.16376, 8.49329;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.04.2024;;;;;;privater Investor;Oberrheingraben;;badenova WärmePlus GmbH & Co. KGTullastraße 6179108 Freiburg;;;;
D_Projekt in Planung;"""Löwenherz""";;;49.17889321143759, 8.031623329032591;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Storchenaue""";;;49.20860956135903, 8.229263478450259;Rheinland-Pfalz;Hyrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Kaltenbach;;;49.2176432640233, 8.170346039287459;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lingenfeld;;;49.24500495939631, 8.344264851846878;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Waghäusel;;;49.245006, 8.510063;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;privater Investor;Oberrheingraben;Bürgerentscheid am 23.3.23;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;;;;
D_Projekt in Planung;"""Grumbeere""";;;49.27457481089342, 8.396897251256947;Rheinland-Pfalz;Hyrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Kerner""";;;49.349464091776255, 8.143283953759203;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Haßloch ""Taro""";;;49.351968319295814, 8.265765833813434;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Schifferstadt ""Rhein-Pfalz""";;;49.382200214589126, 8.374346189346241;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Hardt;;;49.403157, 8.585578;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.03.2026;;;;;;privater Investor;Oberrheingraben;https://www.rnf.de/mediathek/video/geothermie-die-suche-nach-heissem-wasser-in-3500-metern-tiefe/;GeoHardt GmbHScheffelstraße 1668723 Schwetzingen;Gehört zu EnBW, (Kölbel);;;
D_Projekt in Planung;Lutrina;;;49.41537759355145, 7.577750890676072;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Nürnberg;;;49.45249505311012, 11.071229468035005;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Bad Dürkheim ""Flaggenturm""";;;49.45981824086134, 8.16721654909178;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Kaiserslautern ""Kasimir"" ";;;49.46904151573768, 7.836526094701407;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Ludwigshafen 1""Ludwig""";;;49.48604491065088, 8.435699257741696;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Mannheim;;;49.487580, 8.481046;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Ludwigshafen 2""Therese""";;;49.49763154141702, 8.311011774180463;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Weinheim-Süd;;;49.533471, 8.642011;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.11.2025;;;;;;;;;;;;;
D_Projekt in Planung;Lampertheim I;;;49.60101729555329, 8.471756006871416;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lampertheim II;;;49.60101729555329, 8.471756006871416;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Worms-Silbersee;;;49.63395024457772, 8.348018093309307;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Einhausen ""Jägersburg""";;;49.67228189268898, 8.547702641322267;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;Bei Biblis;https://rim.ekom21.de/lampertheim/sdnetrim/UGhVM0hpd2NXNFdFcExjZXszAKY_3xXBc9_taFXxMWeA5QJXA9haPZ1atK8RWJLv/Anlage2_Karte_zum_Ausschluss_von_Gebieten_mit_potenziellen_Nutzungskonflikten_fuer_das_Bohren.pdf;Eavor;;;;
D_Projekt in Planung;Eich-Hamm;;;49.74262266789378, 8.415054268737949;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Würzburg;;;49.79045753836998, 9.950922585389575;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Ried;;;49.84161479691538, 8.468468523009529;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Ingelheim;;;49.977761256394565, 8.052848794431371;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Mainz;;;49.992734509276595, 8.251454563423273;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Luftbrücke;;;50.03875103357532, 8.596442092659883;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;"Chemiepark Höchst und Frankfurter Flughafen
";https://www.irw-press.com/de/news/vulcan-erhaelt-neue-aufsuchungslizenz-in-der-region-frankfurt_72044.html?isin=AU0000066086;Vulcan ;;;;
D_Projekt in Planung;Erfurt;maps;r;50.03875103357532, 8.596442092659883;Thüringen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Ulrike""";;;50.333497163695064, 7.754068038708689;Rheinland-Pfalz;Grubenwasser;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Geothermie-Aachen""";m;r;50.7771, 6.0851;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;21.04.2023-20.04.2028;;;;;;;;;;;;;
D_Projekt in Planung;"""Margarete""";;;50.777931269409656, 7.947355948641481;Rheinland-Pfalz;Grubenwasser;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Freiberg;maps;r;50.916774, 13.344687;Sachsen;Grubenwasser;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;RheinEnergie Erdwärme;m;r;50.939052, 6.961632;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Dresden;maps;r;51.054231, 13.736253;Sachsen;Forschung;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Düsseldorf;m;r;51.237132, 6.782666;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;02.07.2022 bis 01.07.2025;;;;;;;;https://www.duesseldorf.de/umweltamt/umwelt-und-verbraucherthemen-von-a-z/tiefengeothermie.html;Stadtwerke Düsseldorf AG;;;;
D_Projekt in Planung;Kempener Westen;m;f;51.383222, 6.417565;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Hagen;m;f;51.413490, 7.474543;Nordrhein-Westfalen;Hydrogeothermie;;;130-160;3200-4100;;;;;"23.03.2019 bis 22.03.2024	";;;;;;;;https://www.kabelpaper.de/kabel-zero/aktuelles/;Kabel Premium Pulp & Paper GmbH;;;;
D_Projekt in Planung;Gelderland-Süd;m;r;51.435852, 6.269659;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Neukirchen-Vluyn ""ENNI Geothermie""";m;r;51.443674, 6.548829;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Mülheim an der Ruhr ""medl-Geotherm""";m;a;51.444271, 6.863902;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Bochum 1 (Fraunhofer IEG), Zukunftsenergie;m;a;51.446259, 7.273505;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;22.03.2012 bis 21.03.2025;;;;;;;;;Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.;;;;
D_Projekt in Planung;Sangerhausen;maps;r;51.473801, 11.299247;Sachsen-Anhalt;Grubenwasser;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Oberhausen ""evo Geotherm""";m;f;51.504352, 6.855186;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Rheinberg Geothermie;m;a;51.546206, 6.603099;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Göttingen I;;;51.55281238856508, 9.987586968799993;Niedersachsen;Niedersachsen;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Nordharz;;;51.906197, 10.513350;Niedersachsen;Niedersachsen;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Grüne-Wärme-Münster;m;r;51.958718, 7.626996;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;2030;;;;;;;;;;;;;;
D_Projekt in Planung;Brand;maps;f;52.03946,13.74761;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Bissendorf;;;52.237568553089204, 8.176415855713916;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Schwielowsee;maps;r;52.311220, 12.930138;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Bentheimer Wald;;;52.31746797270104, 7.18581568894619;Niedersachsen;Hydrogeothermie;;;;;;;;;14.06.2027.;;;;;;;;;;;;;
D_Projekt in Planung;Kronsberg;;;52.336967071977774, 9.846344945970262;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Kleefeld;;;52.36888934123393, 9.796948293174552;Niedersachsen;Niedersachsen;;;;;;;;;30.11.2024;;;;;;;Nord.Becken;;Eavor GmbH;;;;
D_Projekt in Planung;Buchholz;;;52.37906085356989, 9.74703546130581;Niedersachsen;Hydrogeothermie;;;;;;;;;31.03.2024.;;;;;;;;;;;;;
D_Projekt in Planung;Hannover-Buchholz I;;;52.405053, 9.828652;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Nordhorn;;;52.42547546395112, 7.237632044882254;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Garbsen;;;52.42702492320163, 9.598757900805719;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Altwarmbüchener Moor;;;52.42738273502441, 9.893252782854162;Niedersachsen;Hydrogeothermie;;;;;;;;; 15.11.2022 bis 14.11.2025;;;;;;;Nord.Becken;;NDEWG GmbH Fiskediek 7a 49809 Lingen (Ems);;;;
D_Projekt in Planung;Grunewald;maps;f;52.49243,13.22909;Berlin;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Premnitz;maps;r;52.5282904,12.3567498;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Berlin;maps;r;52.543533, 13.355124;Berlin;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Altencelle;;;52.595044971923706, 10.113514579163345;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.lbeg.niedersachsen.de/aktuelles/pressemitteilungen/landkreis-celle-baker-hughes-inteq-gmbh-bekommt-feld-altencelle-zugeteilt-lbeg-erteilt-erlaubnis-zur-aufsuchung-von-erdwarme-221713.html;;;;;
D_Projekt in Planung;Ahnsbeck;;;52.61074585425046, 10.28406165249926;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Neumühle;maps;r;52.664298, 11.003052;Sachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.freiepresse.de/vogtland/plauen/geothermie-grossprojekt-am-geysir-im-vogtland-landrat-hofft-auf-kraftwerksbau-ab-2025-artikel13324080;;;;;
D_Projekt in Planung;Bernau;maps;f;52.67851,13.58949;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Jeetze;maps;r;52.741877, 11.423352;Sachsen-Anhalt;Hydrogeothermie;;;;;;;;;;;;;;;;;;;Lithium und Thermalwasser in bestehenden Gasbohrungen;;;
D_Projekt in Planung;Bad Fallingbostel;;;52.863515866374144, 9.695822969070726;Niedersachsen;Niedersachsen;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Horstberg (neu);;;52.908493, 10.331962;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Poggenpohl;;;52.94293284233058, 8.343183436073707;Niedersachsen;Hydrogeothermie;;;;;;;;;31.01.2025.;;;;;;;;;;;;;
D_Projekt in Planung;Uelzen;;;52.96741962692176, 10.563586958275387;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;kommunal;Nord.Becken;;"Stadtwerke Uelzen GmbH
Im Neuen Felde 105
29525 Uelzen";;;;
D_Projekt in Planung;Soltau;;;52.98257382299324, 9.842887028159513;Niedersachsen;Hydrogeothermie;;;;;;;;;30.11.2024;;;;;;kommunal;Nord.Becken;;"Stadtwerke Soltau GmbH & Co. KG
Weinberg 46
29614 Soltau";;;;
D_Projekt in Planung;Weyhe;;;52.9835928966011, 8.850545500093414;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Munster-Bispingen;;;52.98640066846064, 10.089694660701054;Niedersachsen;Hydrogeothermie;;;;5.000;;;;2025;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Hemelingen;;;53.05239739317355, 8.89833254466889;Bremen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Ilmenau I;;;53.072732, 10.581926;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Barnstorf;;;53.106068320150364, 13.298456416196814;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Mühlenhofsweg;;;53.168570, 8.233994;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lüneburg I;;;53.24731862028142, 10.416274214800374;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Prenzlau-Nord 2/Erdwärme ;maps;a;53.3214811,13.8614210;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Neustrelitz;maps;r;53.359613, 13.072644;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Parchim-Stadt;;tabelle;53.42494055759068, 11.830829136586528;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Göhren-Lebbin;;tabelle;53.47578850246684, 12.525781402961185;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.base.bund.de/SharedDocs/Downloads/BASE/DE/IP/einvernehmenserklaerung/Mecklenburg-Vorpommern/BASE-21102-08-A-0088.html;;;;;
D_Projekt in Planung;Borkum;;;53.58177902984293, 6.663389159218392;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Norderstedt;m;r;53.699152, 10.000913;Schleswig-Holstein;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lübeck;m;r;53.865277, 10.686406;Schleswig-Holstein;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Wismar;maps;r;53.889117, 11.463659;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Karlshagen-Usedom/Kaiserbäder Usedom;;tabelle;53.962024716636996, 14.154660541415963;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;https://www.geothermie-karlshagen.de/;;;;;
D_Projekt in Planung;Neumünster;m;r;54.072649, 9.984286;Schleswig-Holstein;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Karlshagen-Usedom;;;54.115763163517606, 13.820448786061359;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;https://www.geothermie-karlshagen.de/;;;;;
D_Projekt in Planung;Stralsund;;;54.31021272312311, 13.035525256557323;Mecklenburg-Vorpommern;3 Sonden vorhanden, nicht in Nutzung;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Geothermielagerstätte Prerow;;;54.43643198495533, 12.577228961206771;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Husum;m;r;54.485220, 9.056564;Schleswig-Holstein;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Duisburg;rh;a;51.35514107616827, 6.8180604802403035;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;06.08.2022 bis 05.08.2025;;;;;;;;;Stadtwerke Duisburg Aktiengesellschaft;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
