Status;Name;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur in °C;Teufe in m (TVD);Förderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
A_Projekt in Betrieb;Unterföhring (2. Dublette);Bayern;Hydrogeothermie;11,3;;93;2.341;90;45;;2014;;Wärme;Dublette;Fernwärme;;;privater Investor;Molassebecken;;;;;;
A_Projekt in Betrieb;Unterhaching;Bayern;Hydrogeothermie;38;;126;3.390;140;170,04;;2007;2009-2017 Stromproduktion durch Kalina-Anlage;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Unterschleißheim;Bayern;Hydrogeothermie;7;;80;1.960;100;35,239;;2003;;Wärme;Dublette;Fernwärme;Balneologie;Kalkstein;privater Investor;Molassebecken;;;;;;
A_Projekt in Betrieb;München-Sendling;Bayern;Hydrogeothermie;50;;107;2809,18;115;375,46;;2021;;Wärme;7 Bohrungen;Fernwärme;;;;Molassebecken;;;;;;
A_Projekt in Betrieb;Waldkraiburg;Bayern;Hydrogeothermie;14;;111,5;2.718;80;40,209;;2012;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Berlin (Reichstag);Berlin;Aquiferspeicher;;;70;300;27,8;;;1999;;Wärme;;;;;;;;;;;;
A_Projekt in Betrieb;Neuruppin;Brandenburg;Hydrogeothermie;1,4;;63,4;1.702;3,9;1,1929;;2007;;Wärme;Dublette;Gebäudeheizung (Hotelkomplex und Bad);Balneologie;Feinsandstein;kommunal;Nord.Becken;;;;;;
A_Projekt in Betrieb;Heubach/Groß-Umstadt;Hessen;Sonde;0,09;;36,7;773;5;;;2012;;Wärme;Tiefe Erdwärmesonde + 8 flache Erdwärmesonden;Beheizung Produktionshallen, Büros -> Nahwärme;;Kristallin;kommunal;;;;;;;
A_Projekt in Betrieb;Neustadt Glewe;Mecklenburg-Vorpommern;Hydrogeothermie;4;;99;2.450;35;13,1;;1994;bis 2012 Stromerzeugung mit ORC-Anlage;Wärme;Dublette;Fernwärme;;O.Keuper (Rhaet);kommunal;Nord.Becken;;;;;;
A_Projekt in Betrieb;Schwerin;Mecklenburg-Vorpommern;Hydrogeothermie;7,5;;56;1.311;;;;2023;;Wärme;Dublette;;;;;Nord.Becken;https://www.stadtwerke-schwerin.de/home/ueber_uns/geothermie/Geothermie-in-Schwerin-Lankow-Ablauf-und-Ergebnisse,swsr_id,786,swsr_inhalt_id,2450.html;;;;;
