Status;Name;Koordinaten;Koordinaten Quelle;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos
D_Projekt in Planung;Karlsdorf III;49.13612, 8.54350;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Karlsruhe-Rheinhafen;49.016201950224314, 8.327734833401703;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.07.2028;;;;;;;;;EnBW undStadtwerke Karlsruhe;
D_Projekt in Planung;Karlsruhe-Süd II;49.00756367570188, 8.407983459828367;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.07.2027;;;;;;privater Investor;Oberrheingraben;https://www.deutsche-erdwaerme.de/karlsruhe-neureut/;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;Standortsuche findet statt
D_Projekt in Planung;KIT Campus Nord II;49.09850756202273, 8.431781797071968;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.06.2026;;;;;;privater Investor;Oberrheingraben;;Arbeitsgemeinschaft Karlsruher Institut für Technologie (KIT) / EnBW Energie Baden-Württemberg AGKaiserstraße 1276131 Karlsruhe;
D_Projekt in Planung;Lahr;48.33839899752713, 7.877576433800958;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.06.2026;;;;;;;;;;
D_Projekt in Planung;Lörrach;47.61564095130721, 7.673259143632073;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.06.2026.;;;;;;;;;;
D_Projekt in Planung;Mannheim;49.487580, 8.481046;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Phillipsburg ""Waghäusel""";49.245006, 8.510063;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;privater Investor;Oberrheingraben;Bürgerentscheid am 23.3.23;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;
D_Projekt in Planung;Raum Ravensburg;47.783219630139214, 9.60853313961705;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Römerbad;48.80920147956789, 8.180667007830856;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.10.2024;;;;;;privater Investor;Oberrheingraben;;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;
D_Projekt in Planung;Waldnerturm;49.59775628202355, 8.740053509445298;;Baden-Württemberg;Hydrgeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Weinheim-Süd;49.51303157802101, 8.625109547929297;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.11.2025;;;;;;;;;;
B_Projekt in Bau;Graben-Neudorf;49.16376, 8.49329;;Baden-Württemberg;Hydrogeothermie;;;;;;;;2024;;;;;;53 Grad Celsius;privater Investor;Oberrheingraben;https://www.deutsche-erdwaerme.de/graben-neudorf/;Vulcan Energy/Geohardt;
D_Projekt in Planung;Ortenau II;48.62875171586698, 8.028673292631577;;Baden-Württemberg;Hydrogeothermie;;;100;3;;;;;31.12.2025;;;;;;privater Investor;Oberrheingraben;;Vulcan Energie Ressourcen GmbHAmalienbadstraße 41, Bau 5276227 Karlsruhe;
A_Projekt in Betrieb;Holzkirchen;47.88189030335666, 11.719357321494547;geotis;Bayern;Hydrogeothermie;5;3,6;157;5.078;65;3,8;22,97;2019;2019 ORC-Anlage liefert Strom -> Heizkraftwerk;Wärme & Strom;Dublette;Fernwärme;Strom;Kalkstein, dolomit.;kommunal;Molassebecken;;;
A_Projekt in Betrieb;Ismaning;48.22970537486774, 11.697420933442515;geotis;Bayern;Hydrogeothermie;7,2;;78;1.906;85;48,26;;2013;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;
A_Projekt in Betrieb;Simbach-Braunau;48.257066211392576, 13.010321196103183;geotis;Bayern;Hydrogeothermie;9,4;;81,7;1.942;90;46,94;;2000;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;GER + AUT Gemeinschaftsprojekt
A_Projekt in Betrieb;Unterföhring;48.1933864433896, 11.65806130750904;geotis;Bayern;Hydrogeothermie;10;;87;2.124;75;30,1;;2009;;Wärme;Dublette;Fernwärme;;;privater Investor;Molassebecken;;;
A_Projekt in Betrieb;Erding;48.289792213335524, 11.886350402690871;geotis;Bayern;Hydrogeothermie;10,2;;65;2.218;48;26,35;;1998;2008 Reinjektionsbohrung, 2009 Inbetriebnahme Heizwerk 2;Wärme;Dublette;Fernwärme;Balneologie;;kommunal;Molassebecken;;;
