Status;Ort/sonstige Bezeichnung;Feldname;Name auf der Karte;Bundesland;Koordinaten;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur in °C;Teufe in m (TVD);Förderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
D_Projekt in Planung;Bad Bevensen ;"""Ilmenau I""";"Bad Bevensen ""Ilmenau I""";Niedersachsen;53.072732, 10.581926;Hydrogeothermie;;;;;;;;;;;;;;;;;;Stadt Bad Bevensen;;;;
D_Projekt in Planung;Ingelheim;"""Ingelheim""";Ingelheim;Rheinland-Pfalz;49.977761256394565, 8.052848794431371;Hydrogeothermie;;;;;;;;;;;;;;;;;;EVI Energieversorgungsgesellschaft Ingelheim mbH;;;;
D_Projekt in Planung;Einhausen;"""Jägersburg""";"Einhausen ""Jägersburg""";Hessen;49.67228189268898, 8.547702641322267;Hydrogeothermie;;;;;;;;;;;;;;;;Bei Biblis;https://rim.ekom21.de/lampertheim/sdnetrim/UGhVM0hpd2NXNFdFcExjZXszAKY_3xXBc9_taFXxMWeA5QJXA9haPZ1atK8RWJLv/Anlage2_Karte_zum_Ausschluss_von_Gebieten_mit_potenziellen_Nutzungskonflikten_fuer_das_Bohren.pdf;Eavor;;;;
D_Projekt in Planung;Wolgast;"""Jarovit""";Wolgast „Jarovit“ ;Mecklenburg-Vorpommern;54.05274766182214, 13.739785525325175;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Hagen;"""Kabel Zero""";Hagen;Nordrhein-Westfalen;51.413490, 7.474543;Hydrogeothermie;;;130-160;3200-4100;;;;;"23.03.2019 bis 22.03.2024	";;;;;;;;https://www.kabelpaper.de/kabel-zero/aktuelles/;Kabel Premium Pulp & Paper GmbH;;;;
D_Projekt in Planung;Bornheim;"""Kaltenbach""";"Bornheim ""Kaltenbach""";Rheinland-Pfalz;49.2176432640233, 8.170346039287459;Hydrogeothermie;;;;;;;;;;;;;;;;;;Deutsche ErdWärme GmbH;;;;
D_Projekt in Planung;Kaiserslautern;"""Kasimir""";"Kaiserslautern ""Kasimir"" ";Rheinland-Pfalz;49.46904151573768, 7.836526094701407;Hydrogeothermie;;;;;;;;;;;;;;;;;;SWK Stadtwerke Kaiserslautern Versorgungs-AG;;;;
D_Projekt in Planung;Kempen;"""Kempener Westen""";Kempen;Nordrhein-Westfalen;51.383222, 6.417565;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Maikammer;"""Kerner""";"Maikammer ""Kerner""";Rheinland-Pfalz;49.349464091776255, 8.143283953759203;Hydrogeothermie;;;;;;;;;;;;;;;;;;Vulcan Energie Ressourcen GmbH;;;;
D_Projekt in Planung;Kiel;"""Kiel und Umgebung""";Kiel und Umgebung;Schleswig-Holstein;54.32248266564758, 10.127725454194394;Hydrogeothermie;;;;;;;;;;;;;;;;;;Innargi Germany Project I GmbH;;;;
D_Projekt in Planung;Langenhagen;"""Kleefeld I""";"Langenhagen ""Kleefeld I""";Niedersachsen;52.40693785441795, 9.755866001933198;Hydrogeothermie;;;;;;;;;30.11.2024;;;;;;;Nord.Becken;;Eavor GmbH;;;;
D_Projekt in Planung;Aachen;"""Kreuz Aachen""";"Aachen  ""Kreuz Aachen""";Nordrhein-Westfalen;50.804479, 6.170460;Hydrogeothermie;;;;;;;;;23.06.2022 bis 22.06.2025;;;;;;;;;Stadtwerke Aachen Aktiengesellschaft in Aachen;;;;
D_Projekt in Planung;Kronsberg;"""Kronsberg""";Kronsberg;Niedersachsen;52.334263224509925, 9.848257023391437;Hydrogeothermie;;;;;;;;;;;;;;;;;;"	Avacon Natur GmbH";;;;
D_Projekt in Planung;Graben;"""Lechfeld""";"Graben ""Lechfeld""";Bayern;48.18840515534486, 10.822471566518908;Hydrogeothermie;;;;;;;;;30.11.2028;;;;;;;;;" EWL Erdwärme Lechfeld GmbH; ONE0 GmbH & Co. KG";;;;
D_Projekt in Planung;Lingen;"""Lingen II""";Lingen;Niedersachsen;52.52272023150037, 7.325350451168644;Hydrogeothermie;;;;;;;;;;;;;;;;;;NDEWG GmbH;;;;
D_Projekt in Planung;Germersheim;"""Lingenfeld""";"Germersheim ""Lingenfeld""";Rheinland-Pfalz;49.24500495939631, 8.344264851846878;Hydrogeothermie;;;;;;;;;;;;;;;;;;Deutsche Erdwärme Projekt I GmbH & Co. KG;;;;
D_Projekt in Planung;Siebeldingen;"""Löwenherz""";"Siebeldingen ""Löwenherz""";Rheinland-Pfalz;49.17889321143759, 8.031623329032591;Hydrogeothermie;;;;;;;;;;;;;;;;;;Vulcan Energie Ressourcen GmbH;;;;
D_Projekt in Planung;Ludwigshafen I ;"""Ludwig""";"Ludwigshafen 1""Ludwig""";Rheinland-Pfalz;49.48604491065088, 8.435699257741696;Hydrogeothermie;;;;;;;;;;;;;;;;;;Vulcan Energie Ressourcen GmbH;;;;
D_Projekt in Planung;Lüneburg;"""Lüneburg I""";Lüneburg ;Niedersachsen;53.24731862028142, 10.416274214800374;Hydrogeothermie;;;;;;;;;;;;;;;;;;Avacon Natur GmbH;;;;
D_Projekt in Planung;Kaiserslautern;"""Lutrina""";"Kaiserslautern ""Lutrina"" ";Rheinland-Pfalz;49.41537759355145, 7.577750890676072;Hydrogeothermie;;;;;;;;;;;;;;;Stadt;;;SWK Stadtwerke Kaiserslautern Versorgungs-AG;;;;
D_Projekt in Planung;Mainz;"""Mainz""";Mainz;Rheinland-Pfalz;49.992734509276595, 8.251454563423273;Hydrogeothermie;;;;;;;;;;;;;;;;;;EVI Energieversorgungsgesellschaft Ingelheim mbH;;;;
D_Projekt in Planung;Herdorf;"""Margarete""";"Herdorf ""Margarete""";Rheinland-Pfalz;50.777931269409656, 7.947355948641481;Grubenwasser;;;;;;;;;;;;;;;;;;Stadt Herdorf;;;;
D_Projekt in Planung;Mülheim an der Ruhr;"""medl-Geotherm""";Mühlheim an der Ruhr;Nordrhein-Westfalen;51.444271, 6.863902;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Oldenburg;"""Mühlenhofsweg""";Oldenburg;Niedersachsen;53.168570, 8.233994;Hydrogeothermie;;;;;;;;;;;;;;;;;;Stadt Oldenburg;;;;
D_Projekt in Planung;Munster-Bispingen;"""Munster (Erdwärme)""";Munster-Bispingen;Niedersachsen;52.98640066846064, 10.089694660701054;Hydrogeothermie;;;;5.000;;;;2025;;;;;;;;Nord.Becken;;Stadtwerke Munster-Bispingen GmbH;;;;
D_Projekt in Planung;Neumünster;"""Neumünster I""";Neumünster;Schleswig-Holstein;54.072649, 9.984286;Hydrogeothermie;;;;;;;;;;;;;;;;;;"	SWN Stadtwerke Neumünster GmbH";;;;
D_Projekt in Planung;Norderstedt;"""Norderstedt""";Norderstedt;Schleswig-Holstein;53.699152, 10.000913;Hydrogeothermie;;;;;;;;;;;;;;;;;;Stadtwerke Norderstedt GmbH;;;;
D_Projekt in Planung;Goslar;"""Nordharz""";Nordharz;Niedersachsen;51.906197, 10.513350;Hydrogeothermie;;;;;;;;;;;;;;;;;;"	BohrKonzept Drilling & Service GmbH";;;;
D_Projekt in Planung;Nordhorn;"""Nordhorn""";Nordhorn;Niedersachsen;52.42547546395112, 7.237632044882254;Hydrogeothermie;;;;;;;;;;;;;;;;;;NDEWG GmbH;;;;
D_Projekt in Planung;Rheinberg;"""Rheinberg Geothermie""";Rheinberg;Nordrhein-Westfalen;51.546206, 6.603099;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Köln;"""RheinEnergie Erdwärme""";Köln;Nordrhein-Westfalen;50.939052, 6.961632;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Schifferstadt ;"""Rhein-Pfalz""";"Schifferstadt ""Rhein-Pfalz""";Rheinland-Pfalz;49.382200214589126, 8.374346189346241;Hydrogeothermie;;;;;;;;;;;;;;;;;;Stadtwerke Schifferstadt / Stadtwerke Speyer GmbH;;;;
D_Projekt in Planung;Steinfeld;"""Rift""";"Steinfeld ""Rift""";Rheinland-Pfalz;49.09783528692474, 8.112103680020146;Hydrogeothermie;;;;;;;;;;;;;;;;;;Geo Exploration Technologies GmbH / Vulcan Energie Ressourcen GmbH;;;;
D_Projekt in Planung;Rupertiwinkel ;"""Ruperti II""";"Rupertiwinkel ""Ruperti II""";Bayern;47.912024472171346, 12.878585600773969;Hydrogeothermie;;;;;;;;;31.07.2027;;;;;;;;;"Geothermie Rupertiwinkel GmbH, München; Salzburg AG, A - Salzburg";;;;
D_Projekt in Planung;Soltau;"""Soltau""";Soltau;Niedersachsen;52.98257382299324, 9.842887028159513;Hydrogeothermie;;;;;;;;;30.11.2024;;;;;;kommunal;Nord.Becken;;"Stadtwerke Soltau GmbH & Co. KG
Weinberg 46
29614 Soltau";;;;
D_Projekt in Planung;Rülzheim ;"""Storchenaue""";"Rülzheim ""Storchenaue""";Rheinland-Pfalz;49.20860956135903, 8.229263478450259;Hyrogeothermie;;;;;;;;;;;;;;;;;;Deutsche ErdWärme GmbH;;;;
D_Projekt in Planung;Ludwigshafen II ;"""Therese""";"Ludwigshafen 2""Therese""";Rheinland-Pfalz;49.49763154141702, 8.311011774180463;Hydrogeothermie;;;;;;;;;;;;;;;;;;Vulcan Energie Ressourcen GmbH;;;;
D_Projekt in Planung;Uelzen;"""Uelzen I""";Uelzen;Niedersachsen;52.96741962692176, 10.563586958275387;Hydrogeothermie;;;;;;;;;;;;;;;kommunal;Nord.Becken;;"Stadtwerke Uelzen GmbH
Im Neuen Felde 105
29525 Uelzen";;;;
D_Projekt in Planung;Seefeld;"""Vierseen""";"Seefeld ""Vierseen""";Bayern;47.996346085738814, 11.252429734455514;Hydrogeothermie;;;;;;;;;31.01.2028;;;;;;;;;Geothermie Ammersee GmbH,Schönbichlstraße 30,82211 Herrsching a. Ammersee;;;;
D_Projekt in Planung;Zinnowitz;"""Vineta""";Zinnowitz „Vineta“;Mecklenburg-Vorpommern;54.072248106892204, 13.911824124756217;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.parchim.de/de/news/news-2024/information-geothermie/;;;;;
D_Projekt in Planung;Wolfsburg;"""Wolfsburger Revier""";Wolfsburger Revier;Niedersachsen;52.4230936673154, 10.786121116346246;Hydrogeothermie;;;;;;;;;;;;;;;;;;Stadtwerke Wolfsburg AG;;;;
D_Projekt in Planung;Bobenheim-Roxheim;"""Worms-Silbersee""";Worms-Silbersee;Rheinland-Pfalz;49.63395024457772, 8.348018093309307;Hydrogeothermie;;;;;;;;;;;;;;;;;;Zukunft Geowärme GmbH;;;;
D_Projekt in Planung;Wuppertal;"""WSW-Nord""";Wuppertal;Nordrhein-Westfalen;51.273684138961215, 7.131261932324158;;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Bochum, Fraunhofer IEG, Zukunftsenergie;"""Zukunftsenergie""";Bochum (Fraunhofer IEG);Nordrhein-Westfalen;51.446259, 7.273505;Hydrogeothermie;;;;;;;;;22.03.2012 bis 21.03.2025;;;;;;;;;Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.;;;;
D_Projekt in Planung;Ammersee;Ammersee-West;Ammersee-West;Bayern;48.039263487567226, 11.05212018433147;Hydrogeothermie;;;;;;;;;;;;;;;;;;Gemeinde Windach;;;;
D_Projekt in Planung;Ampfing;Ampfing Geothermal;Ampfing;Bayern;48.25346600816881, 12.411744093083335;Hydrogeothermie;;;;;;;;;31.07.2028;;;;;;;;;ONEO GmbH & Co. KG;;;;
D_Projekt in Planung;Aschau am Inn;Aschau am Inn;Aschau am Inn;Bayern;48.19706201887078, 12.349488070534996;Hydrogeothermie;;;;;;;;;31.01.2029;;;;;;;;;Gemeinde Aschau am Inn;;;;
D_Projekt in Planung;Auerbach;Auerbach;Auerbach;Sachsen;50.73917722406988, 12.542819913849803;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Augsburg;Augsburg-Ost;Augsburg-Ost;Bayern;48.38042009013776, 10.913673657882406;Hydrogeothermie;;;;;;;;;30.04.2029;;;;;;;;;AVA Abfallverwertung Augsburg Kommunalunternehmen;;;;
D_Projekt in Planung;Bernau;Bernau;Bernau;Brandenburg;52.67851,13.58949;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Milbertshofen, Vierkirchen;BMW Milbertshofen;München-Milbertshofen;Bayern;48.18308464137711, 11.560200296781957;Hydrogeothermie;;;;;;;;;31.05.2027;;;;;;;;; Bayerische Motoren Werke AG, München;;;;
D_Projekt in Planung;Brand;Brand;Brand;Brandenburg;52.03946,13.74761;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;"""RENEWAC""";Campus Berlin-Buch;Campus Berlin-Buch;Berlin;52.624825882549935, 13.50022354426577;Hydrogeothermie;;;;;;;;;;;;;;;;;https://group.vattenfall.com/de/newsroom/pressemitteilungen/2023/campus-berlin-buch-projekt-renewac-fur-die-berliner-innovationsforderung-tiefengeothermie-ausgewahlt;Projektinitiative ging von einem Kernteam der Campus Berlin-Buch GmbH (CBB), des Helmholtz-Zentrums Potsdam – Deutsches GeoForschungsZentrum GFZ und des Vereins „green with IT“ aus;;;;
D_Projekt in Planung;Gendorf;Chemiepark Gendorf;Gendorf;Bayern;48.17791128436578, 12.721016271812298;Hydrogeothermie;;;;;;;;;31.05.2028;;;;;;;;; InfraServ GmbH & Co Gendorf KG;;;;
D_Projekt in Planung;Dachau;Dachau-Nord;Dachau-Nord;Bayern;48.26331321255316, 11.433373901407554;Hydrogeothermie;;;;;;;;;31.03.2029;;;;;;;;;Stadtwerke Dachau;;;;
D_Projekt in Planung;Dingharting-Attenham;Dingharting-Attenham;Dingharting-Attenham;Bayern;47.95717338865071, 11.544151322026869;Hydrogeothermie;;;;;;;;;29.02.2028;;;;;;;;;SWM;;;;
D_Projekt in Planung;Dresden;Dresden-Heidenau;Dresden-Heidenau;Sachsen;51.054231, 13.736253;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Engelsberg;Engelsberg;Engelsberg;Bayern;48.11642109736139, 12.543934147309393;Hydrogeothermie;;;;;;;;;29.02.2028;;;;;;;;;Silenos Energy GmbH & Co. KG;;;;
D_Projekt in Planung;Feldkirchen-Westerham;Erdwärme Feldkirchen-Westerham;Feldkirchen-Westerham;Bayern;47.90901101943569, 11.846030592357547;Hydrogeothermie;;;;;;;;;30.11.2027;;;;;;;;;Leo Invest GmbH;;;;
D_Projekt in Planung;Rosenheim;Erdwärme Rosenheim;Rosenheim;Bayern;47.85647862615721, 12.118964336760932;Hydrogeothermie;;;;;;;;;28.02.2027;;;;;;;;;Stadtwerke Rosenheim GmbH & Co.KG;;;;
D_Projekt in Planung;Vaterstetten;Erdwärme Vaterstetten;Vaterstetten;Bayern;48.105324942679125, 11.77319777951548;Hydrogeothermie;;;;;;;;;30.09.2028;;;;;;;;;Gemeinde Vaterstetten;;;;
D_Projekt in Planung;Erfurt;Erfurt;Erfurt;Thüringen;50.983025, 11.029143;Petrothermale Geothermie;;;;;;;;;;;;;;;Stadtwerke Erfurt;;;;;;;
D_Projekt in Planung;Dettenheim;Erlich;"Dettenheim ""Erlich""";Baden-Württemberg;49.171949, 8.478003;Hydrogeothermie;;;;;;;;;28.02.2025;;;;;;privater Investor;Oberrheingraben;;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;;;;
D_Projekt in Planung;München-Freimann;Freimann;München-Freimann;Bayern;48.18949187280258, 11.608300585147825;Hydrogeothermie;;;;;;;;;30.04.2025;;;;;;;;;SWM;;;;
D_Projekt in Planung;Fürstenfeldbruck;Fürstenfeldbruck-Nord;Fürstenfeldbruck-Nord;Bayern;48.173358975378385, 11.248235202703608;Hydrogeothermie;;;;;;;;;30.09.2028;;;;;;;;;Stadtwerke Fürstenfeldbruck GmbH;;;;
D_Projekt in Planung;Gauting;Gauting West;Gauting West;Bayern;48.05750893477704, 11.32290084955661;Hydrogeothermie;;;;;;;;;31.03.2025;;;;;;;;;1. ASTO Park Gauting Entwicklungs GmbH, 2. HEIZWERK Management GmbH, 3.Silenos Energy GmbH, Köln;;;;
D_Projekt in Planung;Gauting;Gauting-Ost;Gauting Ost;Bayern;48.06592530031783, 11.404441390074705;Hydrogeothermie;;;;;;;;;30.11.2025;;;;;;;Molassebecken;;1. ASTO Park Gauting Entwicklungs GmbH, 2. HEIZWERK Management GmbH, 3.Silenos Energy GmbH, Köln;;;;
D_Projekt in Planung;Geiselbullach;Geiselbullach;Geiselbullach;Bayern;48.22784945192916, 11.343633939237618;Hydrogeothermie;;;;;;;;;30.04.2028;;;;;;;;;Gemeinsames Kommunalunternehmen für Abfallwirtschaft Anstalt des öffentlichen Rechts der Landkreise Fürstenfeldbruck und Dachau (Kurzform: GfA A.d.ö.R.);;;;
D_Projekt in Planung;Freising;GeoFwFreising;Freising;Bayern;48.40164310981577, 11.742229196565955;Hydrogeothermie;;;;;;;;;31.07.2028;;;;;;;;;Fernwärmeversorgung Freising GmbH;;;;
D_Projekt in Planung;Biberach a.d.Riß.;Geothermie Hallen- und Freibad Biberach a.d.Riß.;Biberach a.d.Riß.;Baden-Württemberg;48.09499347012828, 9.804962184230536;Hydrogeothermie;;;;;;;;;30.09.2028;;;;;;;;;Stadtwerke Biberach GmbH;;;;
D_Projekt in Planung;Palling;Geothermie Palling;Palling;Bayern;48.00047371415766, 12.63827194609091;Hydrogeothermie;;;;;;;;;30.11.2027;;;;;;;Molassebecken;https://www.geothermie-palling.de/presse;Erdwärme Chiemgau GmbH;;;;
D_Projekt in Planung;Traunreut/Waging am See ;Geothermie Traunreut/Waging am See ;Traunreut/Waging am See ;Bayern;47.94933767298183, 12.642169490830092;Hydrogeothermie;;;;;;;;;31.05.2026;;;;;;;;;GKT Holding GmbH;;;;
D_Projekt in Planung;Göhren-Lebbin;Göhren-Lebbin;Göhren-Lebbin;Mecklenburg-Vorpommern;53.47578850246684, 12.525781402961185;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.base.bund.de/SharedDocs/Downloads/BASE/DE/IP/einvernehmenserklaerung/Mecklenburg-Vorpommern/BASE-21102-08-A-0088.html;;;;;
D_Projekt in Planung;Dresden;Golden Door;Dresden;Sachsen;51.053416167061314, 13.733434575164654;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Graming;Graming;Graming;Bayern;48.20820384266516, 12.666007800189224;Hydrogeothermie;;;;;;;;;28.02.2029;;;;;;;;;"ESW Energiesparwerk GmbH & Co. Biothermie Altötting KG; Silenos Energy GmbH & Co. KG";;;;
D_Projekt in Planung;Schwetzingen;Hardt;"Schwetzingen ""Hardt""";Baden-Württemberg;49.403157, 8.585578;Hydrogeothermie;;;;;;;;;31.03.2026;;;;;;privater Investor;Oberrheingraben;https://www.rnf.de/mediathek/video/geothermie-die-suche-nach-heissem-wasser-in-3500-metern-tiefe/;GeoHardt GmbHScheffelstraße 1668723 Schwetzingen;Gehört zu EnBW, (Kölbel);;;
D_Projekt in Planung;Altmark Salzwedel;Jeetze-L;Altmark Salzwedel;Sachsen-Anhalt;52.741877, 11.423352;Hydrogeothermie;;;;;;;;;;;;;;;;;;Neptune Energy Deutschland GmbH;Lithium und Thermalwasser in bestehenden Gasbohrungen;;;
D_Projekt in Planung;Pforzheim;Käfersteige;Pforzheim »Käfersteige«;Baden-Württemberg;48.84745290090928, 8.755696250173637;Hydrogeothermie;;;;;;;;;31.07.2026;;;;;;;;;Deutsche Flussspat GmbH;;;;
D_Projekt in Planung;Usedom;Kaiserbäder Usedom;"""Kaiserbäder Usedom""";Mecklenburg-Vorpommern;53.962024716636996, 14.154660541415963;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;https://www.geothermie-karlshagen.de/;;;;;
D_Projekt in Planung;Karlsdorf;Karlsdorf III;Karlsdorf;Baden-Württemberg;49.13612, 8.54350;Hydrogeothermie;;;;;;;;;31.08.2026;;;;;;;;;"	EnBW Energie Baden-Württemberg AG";;;;
D_Projekt in Planung;Karlsfeld;Karlsfeld-Nord;Karlsfeld-Nord;Bayern;48.22858836437431, 11.473234178130769;Hydrogeothermie;;;;;;;;;31.01.2028;;;;;;;;;opportunities & friends GmbH;;;;
D_Projekt in Planung;Usedom;Karlshagen-Usedom;"""Karlshagen-Usedom""";Mecklenburg-Vorpommern;54.115763163517606, 13.820448786061359;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;https://www.geothermie-karlshagen.de/;;;;;
D_Projekt in Planung;Karlsruhe;Karlsruhe-Süd II;"""Karlsruhe-Süd II""";Baden-Württemberg;49.00756367570188, 8.407983459828367;Hydrogeothermie;;;;;;;;;31.07.2027;;;;;;privater Investor;Oberrheingraben;https://www.deutsche-erdwaerme.de/karlsruhe-neureut/;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;Standortsuche findet statt;;;
D_Projekt in Planung;Eggenstein-Leopoldshafen;KIT Campus Nord II;"Eggenstein-Leopoldshafen ""KIT Campus Nord II""";Baden-Württemberg;49.09850756202273, 8.431781797071968;Hydrogeothermie;;;;;;;;;30.06.2026;;;;;;privater Investor;Oberrheingraben;;Arbeitsgemeinschaft Karlsruher Institut für Technologie (KIT) / EnBW Energie Baden-Württemberg AGKaiserstraße 1276131 Karlsruhe;;;;
D_Projekt in Planung;Lahr;Lahr;Lahr;Baden-Württemberg;48.33839899752713, 7.877576433800958;Hydrogeothermie;;;;;;;;;30.06.2026;;;;;;;;;Badenova Wärmeplus GmbH & Co.;;;;
D_Projekt in Planung;Lampertheim;Lampertheim I;"""Lampertheim I""";Hessen;49.60101729555329, 8.471756006871416;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lampertheim;Lampertheim II;"""Lampertheim II""";Hessen;49.60205500948561, 8.49202248367049;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lörrach;Lörrach;Lörrach;Baden-Württemberg;47.61564095130721, 7.673259143632073;Hydrogeothermie;;;;;;;;;30.06.2026.;;;;;;;;;Badenova Wärmeplus GmbH & Co.;;;;
D_Projekt in Planung;Frankfurt am Main;Luftbrücke;"Frankfurt am Main ""Luftbrücke""";Hessen;50.03875103357532, 8.596442092659883;Hydrogeothermie;;;;;;;;;;;;;;;;"Chemiepark Höchst und Frankfurter Flughafen
";https://www.irw-press.com/de/news/vulcan-erhaelt-neue-aufsuchungslizenz-in-der-region-frankfurt_72044.html?isin=AU0000066086;Vulcan ;;;;
D_Projekt in Planung;Mannheim;Mannheim;Mannheim;Baden-Württemberg;49.487580, 8.481046;Hydrogeothermie;;;;;;;;;30.06.2027.;;;;;;;;;Vulcan Energy Resources Europe ;;;;
D_Projekt in Planung;Stendal;Milde A-E;Stendal;Sachsen-Anhalt;52.57098171977273, 11.682766904349727;Hydrogeothermie;;;;;;;;;;;;;;;;;;Neptune Energy Deutschland GmbH;Lithium und Thermalwasser;;;
D_Projekt in Planung;Osterburg;Milde C-L;Osterburg;Sachsen-Anhalt;52.871150680347604, 11.579550936768982;Hydrogeothermie;;;;;;;;;;;;;;;;;;Neptune Energy Deutschland GmbH;;;;
D_Projekt in Planung;München-Feldmoching;München-Feldmoching;München-Feldmoching;Bayern;48.20778204433672, 11.532967481480256;Hydrogeothermie;;;;;;;;;31.12.2026;;;;;;;;;SWM;;;;
D_Projekt in Planung;Neufahrn-Eching;Neufahrn-Eching;Neufahrn-Eching;Bayern;48.30964562153244, 11.64448783339483;Hydrogeothermie;;;;;;;;;31.08.2027;;;;;;;;; Zweckverband Versorgungs- und Verkehrsbetriebe Neufahrn/Eching;;;;
D_Projekt in Planung;Nürnberg;Nürnberg;Nürnberg;Bayern;49.45249505311012, 11.071229468035005;Hydrogeothermie;;;;;;;;;31.07.2027;;;;;;;;;N-ERGIE Aktiengesellschaft;;;;
D_Projekt in Planung;Oranienburg;Oranienburg;Oranienburg;Brandenburg;52.75528270173587, 13.23715413295646;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Achern;Ortenau II;"Achern ""Ortenau II""";Baden-Württemberg;48.62875171586698, 8.028673292631577;Hydrogeothermie;;;100;3.000;;;;;31.12.2025;;;;;;privater Investor;Oberrheingraben;;Vulcan Energie Ressourcen GmbHAmalienbadstraße 41, Bau 5276227 Karlsruhe;;;;
D_Projekt in Planung;Parchim;Parchim-Stadt;Parchim;Mecklenburg-Vorpommern;53.42494055759068, 11.830829136586528;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Gräfelfing;Planegg;Gräfelfing/Planegg;Bayern;48.11577060827251, 11.428460085810334;Hydrogeothermie;;;;;;;;;30.11.2025;;;;;;;Molassebecken;https://www.geothermie-graefelfing.de/bisherige-schritte;Gemeinde Gräfelfing, Ruffiniallee 2, 82166 Gräfelfing;;;;
D_Projekt in Planung;Premnitz;Premnitz;Premnitz;Brandenburg;52.5282904,12.3567498;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Prenzlau;Prenzlau-Nord II;Prenzlau;Brandenburg;53.3214811,13.8614210;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.uvp-verbund.de/trefferanzeige?docuuid=a67e4298-401f-48d6-896b-56c21bc1e090;Stadtwerke Prenzlau;;;;
D_Projekt in Planung;Pullach;Pullach Süd;Pullach Süd;Bayern;48.05555953496567, 11.517268338254889;Hydrogeothermie;;;;;;;;;14.06.2027;;;;;;;;;Innovative Energie für Pullach GmbH (IEP), Pullach;;;;
D_Projekt in Planung;Ravensburg;Raum Ravensburg;"""Raum Ravensburg""";Baden-Württemberg;47.783219630139214, 9.60853313961705;Hydrogeothermie;;;;;;;;;;;;;;;;;;Technische Werke Schussental GmbH & Co.;;;;
D_Projekt in Planung;Riedstadt;Ried;Riedstadt;Hessen;49.84161479691538, 8.468468523009529;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Rastatt;Römerbad;"Rastatt ""Römerbad""";Baden-Württemberg;48.80920147956789, 8.180667007830856;Hydrogeothermie;;;;;;;;;31.10.2027;;;;;;privater Investor;Oberrheingraben;;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;;;;
D_Projekt in Planung;Sangerhausen;Sangerhausen;Sangerhausen;Sachsen-Anhalt;51.473801, 11.299247;Grubenwasser;;;;;;;;;;;;;;;;;;Stadtwerke Sangerhausen GmbH;;;;
D_Projekt in Planung;Schwielowsee;Schwielowsee;Schwielowsee;Brandenburg;52.311220, 12.930138;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Schneeberg;Silberberg;"Schneeberg ""Silberberg""";Sachsen;50.49695326710284, 12.661070213915194;Petrothermale Geothermie;;;;;;;;;;;;;;;Stadtwerke Schneeberg;;;;;;;
D_Projekt in Planung;Neu-Ulm;Stadtwärme Neu-Ulm;Neu-Ulm;Bayern;48.383146854415905, 10.008997755766739;Geschlossenes tiefengeothermisches System;;;;;;;;;31.07.2026;;;;;;;;Eavor GmbH;;;;;
D_Projekt in Planung;Stralsund;Stralsund;Stralsund;Mecklenburg-Vorpommern;54.31021272312311, 13.035525256557323;Sonde;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
